v	Term energy	Bv (cm^-1)
0	-111.698049015	59.3693545577
1	4051.56483099	56.40602271
2	7979.20724173	53.5089845992
3	11676.3376373	50.6555034695
4	15145.4719563	47.8228965758
5	18388.0306917	44.9848602739
6	21402.4032908	42.1113948665
7	24184.7414748	39.1612156679
8	26727.7615276	36.0901657708
9	29020.1122515	32.8349138048
10	31045.4237033	29.3085749128
11	32780.6600812	25.3908340976
12	34193.7876411	20.9001362556
13	35240.408284	15.5323489494
14	35859.0997574	8.65946094752
